shipment_id,po_id,supplier_id,ship_date,expected_arrival,actual_arrival,carrier,destination_warehouse,status,delay_days
SHP-001,PO-2025-001,SUP-003,2025-03-18,2025-03-22,2025-04-03,FreightCo,WH-NE-01,Delivered,12
SHP-002,PO-2025-002,SUP-003,2025-03-22,2025-03-26,2025-04-08,FreightCo,WH-NE-01,Delivered,13
SHP-003,PO-2025-003,SUP-001,2025-03-20,2025-03-24,2025-03-23,ExpressLogistics,WH-SE-01,Delivered,0
SHP-004,PO-2025-004,SUP-007,2025-03-26,2025-03-30,2025-04-04,RegionalHaul,WH-NE-01,Delivered,5
SHP-005,PO-2025-005,SUP-003,2025-04-05,2025-04-10,2025-04-24,FreightCo,WH-NE-01,Delivered,14
SHP-006,PO-2025-006,SUP-006,2025-03-30,2025-04-04,2025-04-03,FastTrack,WH-SE-01,Delivered,0
SHP-007,PO-2025-007,SUP-003,2025-04-18,2025-04-22,,FreightCo,WH-NE-01,In Transit,
SHP-008,PO-2025-008,SUP-005,2025-04-28,2025-05-10,,OceanFreight,WH-W-01,In Transit,
SHP-009,PO-2025-009,SUP-007,2025-04-22,2025-04-28,2025-04-28,RegionalHaul,WH-NE-01,Delivered,0
SHP-010,PO-2025-010,SUP-003,2025-05-01,2025-05-06,,FreightCo,WH-NE-01,In Transit,
SHP-011,PO-2025-011,SUP-008,2025-04-24,2025-04-30,2025-04-29,MidwestExpress,WH-MW-01,Delivered,0
